from	to	score
AluSx4	AluYe5	477
AluSx4	AluYe6	472
AluSx4	AluYg6	490
AluSx4	AluYh9	468
AluSx4	AluYk11	459
AluSx4	AluYk12	463
AluSx4	AluYk4	486
AluSx4	FAM	196
AluSx4	FLAM_A	142
AluSx4	FLAM_C	170
AluSx4	FRAM	255
AluSx4	SVA_A	249
AluSx4	SVA_B	208
AluSx4	SVA_C	189
AluSx4	SVA_D	189
AluSx4	SVA_E	180
AluSx4	SVA_F	80.6
AluSx	AluJb	496
AluSx	AluJo	460
AluSx	AluJr	455
AluSx	AluJr4	452
AluSx	AluSc	526
AluSx	AluSc5	517
AluSx	AluSc8	518
AluSx	AluSg	552
AluSx	AluSg4	534
AluSx	AluSg7	521
AluSx	AluSp	526
AluSx	AluSq	544
AluSx	AluSq10	512
AluSx	AluSq2	544
AluSx	AluSq4	523
AluSx	AluSx1	559
AluSx	AluSx3	541
AluSx	AluSx4	538
AluSx	AluSz	559
AluSx	AluSz6	536
AluSx	AluY	505
AluSx	AluYRa1	465
AluSx	AluYRa2	474
AluSx	AluYRa3	470
AluSx	AluYRa4	466
AluSx	AluYRb1	449
AluSx	AluYRb2	426
AluSx	AluYRb3	444
AluSx	AluYRc0	492
AluSx	AluYRc1	474
AluSx	AluYRc2	470
AluSx	AluYRd1	452
AluSx	AluYRd2	456
AluSx	AluYRd4	452
AluSx	AluYa5	482
AluSx	AluYa8	475
AluSx	AluYb8	456
AluSx	AluYb9	456
AluSx	AluYc	462
AluSx	AluYc3	451
AluSx	AluYd8	434
AluSx	AluYe5	473
AluSx	AluYe6	469
AluSx	AluYg6	487
AluSx	AluYh9	469
AluSx	AluYk11	455
AluSx	AluYk12	469
AluSx	AluYk4	482
AluSx	FAM	196
AluSx	FLAM_A	144
AluSx	FLAM_C	182
AluSx	FRAM	255
AluSx	SVA_A	265
AluSx	SVA_B	224
AluSx	SVA_C	205
AluSx	SVA_D	205
AluSx	SVA_E	196
AluSx	SVA_F	80.6
AluSz6	AluJb	496
AluSz6	AluJo	469
AluSz6	AluJr	464
AluSz6	AluJr4	461
AluSz6	AluSc	503
AluSz6	AluSc5	494
AluSz6	AluSc8	496
AluSz6	AluSg	529
AluSz6	AluSg4	511
AluSz6	AluSg7	503
AluSz6	AluSp	503
AluSz6	AluSq	517
AluSz6	AluSq10	485
AluSz6	AluSq2	517
AluSz6	AluSq4	500
AluSz6	AluSx	536
AluSz6	AluSx1	532
AluSz6	AluSx3	518
AluSz6	AluSx4	516
AluSz6	AluSz	541
AluSz6	AluY	482
AluSz6	AluYRa1	443
AluSz6	AluYRa2	452
AluSz6	AluYRa3	447
AluSz6	AluYRa4	444
AluSz6	AluYRb1	426
AluSz6	AluYRb2	404
AluSz6	AluYRb3	422
AluSz6	AluYRc0	470
AluSz6	AluYRc1	461
AluSz6	AluYRc2	456
AluSz6	AluYRd1	429
AluSz6	AluYRd2	434
AluSz6	AluYRd4	429
AluSz6	AluYa5	460
AluSz6	AluYa8	453
AluSz6	AluYb8	434
AluSz6	AluYb9	434
AluSz6	AluYc	439
AluSz6	AluYc3	428
AluSz6	AluYd8	412
AluSz6	AluYe5	451
AluSz6	AluYe6	446
AluSz6	AluYg6	464
AluSz6	AluYh9	446
AluSz6	AluYk11	433
AluSz6	AluYk12	446
AluSz6	AluYk4	460
AluSz6	FAM	187
AluSz6	FLAM_A	153
AluSz6	FLAM_C	191
AluSz6	FRAM	246
AluSz6	SVA_A	260
AluSz6	SVA_B	220
AluSz6	SVA_C	201
AluSz6	SVA_D	201
AluSz6	SVA_E	192
AluSz6	SVA_F	80.6
AluSz	AluJb	500
AluSz	AluJo	464
AluSz	AluJr	460
AluSz	AluJr4	456
AluSz	AluSc	526
AluSz	AluSc5	517
AluSz	AluSc8	518
AluSz	AluSg	552
AluSz	AluSg4	534
AluSz	AluSg7	521
AluSz	AluSp	521
AluSz	AluSq	539
AluSz	AluSq10	508
AluSz	AluSq2	539
AluSz	AluSq4	523
AluSz	AluSx	559
AluSz	AluSx1	554
AluSz	AluSx3	541
AluSz	AluSx4	538
AluSz	AluSz6	541
AluSz	AluY	505
AluSz	AluYRa1	465
AluSz	AluYRa2	474
AluSz	AluYRa3	470
AluSz	AluYRa4	466
AluSz	AluYRb1	449
AluSz	AluYRb2	426
AluSz	AluYRb3	444
AluSz	AluYRc0	492
AluSz	AluYRc1	474
AluSz	AluYRc2	470
AluSz	AluYRd1	452
AluSz	AluYRd2	456
AluSz	AluYRd4	452
AluSz	AluYa5	482
AluSz	AluYa8	475
AluSz	AluYb8	456
AluSz	AluYb9	456
AluSz	AluYc	462
AluSz	AluYc3	451
AluSz	AluYd8	434
AluSz	AluYe5	473
AluSz	AluYe6	469
AluSz	AluYg6	487
AluSz	AluYh9	469
AluSz	AluYk11	455
AluSz	AluYk12	469
AluSz	AluYk4	482
AluSz	FAM	196
AluSz	FLAM_A	149
AluSz	FLAM_C	187
AluSz	FRAM	255
AluSz	SVA_A	269
AluSz	SVA_B	229
AluSz	SVA_C	210
AluSz	SVA_D	210
AluSz	SVA_E	201
AluSz	SVA_F	80.6
AluYRa1	AluJb	411
AluYRa1	AluJo	384
AluYRa1	AluJr	379
AluYRa1	AluJr4	376
AluYRa1	AluSc	474
AluYRa1	AluSc5	456
AluYRa1	AluSc8	499
AluYRa1	AluSg	473
AluYRa1	AluSg4	469
AluYRa1	AluSg7	456
AluYRa1	AluSp	427
AluYRa1	AluSq	454
AluYRa1	AluSq10	423
AluYRa1	AluSq2	454
AluYRa1	AluSq4	453
AluYRa1	AluSx	465
AluYRa1	AluSx1	470
AluYRa1	AluSx3	486
AluYRa1	AluSx4	469
AluYRa1	AluSz	465
AluYRa1	AluSz6	443
AluYRa1	AluY	522
AluYRa1	AluYRa2	545
AluYRa1	AluYRa3	517
AluYRa1	AluYRa4	500
AluYRa1	AluYRb1	461
AluYRa1	AluYRb2	447
AluYRa1	AluYRb3	461
AluYRa1	AluYRc0	531
AluYRa1	AluYRc1	504
AluYRa1	AluYRc2	499
AluYRa1	AluYRd1	481
AluYRa1	AluYRd2	490
AluYRa1	AluYRd4	481
AluYRa1	AluYa5	508
AluYRa1	AluYa8	496
AluYRa1	AluYb8	469
AluYRa1	AluYb9	469
AluYRa1	AluYc	474
AluYRa1	AluYc3	463
AluYRa1	AluYd8	452
AluYRa1	AluYe5	499
AluYRa1	AluYe6	495
AluYRa1	AluYg6	504
AluYRa1	AluYh9	490
AluYRa1	AluYk11	477
AluYRa1	AluYk12	472
AluYRa1	AluYk4	504
AluYRa1	FAM	178
AluYRa1	FLAM_A	124
AluYRa1	FLAM_C	150
AluYRa1	FRAM	229
AluYRa1	SVA_A	219
AluYRa1	SVA_B	70.7
AluYRa1	SVA_C	69.8
AluYRa1	SVA_D	67.1
AluYRa2	AluJb	420
AluYRa2	AluJo	393
AluYRa2	AluJr	389
AluYRa2	AluJr4	385
AluYRa2	AluSc	483
AluYRa2	AluSc5	465
AluYRa2	AluSc8	504
AluYRa2	AluSg	482
AluYRa2	AluSg4	478
AluYRa2	AluSg7	465
AluYRa2	AluSp	436
AluYRa2	AluSq	463
AluYRa2	AluSq10	432
AluYRa2	AluSq2	463
AluYRa2	AluSq4	462
AluYRa2	AluSx	474
AluYRa2	AluSx1	479
AluYRa2	AluSx3	490
AluYRa2	AluSx4	478
AluYRa2	AluSz	474
AluYRa2	AluSz6	452
AluYRa2	AluY	526
AluYRa2	AluYRa1	545
AluYRa2	AluYRa3	522
AluYRa2	AluYRa4	505
AluYRa2	AluYRb1	465
AluYRa2	AluYRb2	452
AluYRa2	AluYRb3	465
AluYRa2	AluYRc0	535
AluYRa2	AluYRc1	508
AluYRa2	AluYRc2	504
AluYRa2	AluYRd1	486
AluYRa2	AluYRd2	486
AluYRa2	AluYRd4	486
AluYRa2	AluYa5	513
AluYRa2	AluYa8	496
AluYRa2	AluYb8	473
AluYRa2	AluYb9	473
AluYRa2	AluYc	479
AluYRa2	AluYc3	468
AluYRa2	AluYd8	456
AluYRa2	AluYe5	504
AluYRa2	AluYe6	499
AluYRa2	AluYg6	508
AluYRa2	AluYh9	495
AluYRa2	AluYk11	481
AluYRa2	AluYk12	477
AluYRa2	AluYk4	508
AluYRa2	FAM	182
AluYRa2	FLAM_A	129
AluYRa2	FLAM_C	148
AluYRa2	FRAM	233
AluYRa2	SVA_A	224
AluYRa2	SVA_B	70.7
AluYRa2	SVA_C	69.8
AluYRa2	SVA_D	67.1
AluYRa3	AluJb	416
AluYRa3	AluJo	379
AluYRa3	AluJr	375
AluYRa3	AluJr4	371
AluYRa3	AluSc	483
AluYRa3	AluSc5	465
AluYRa3	AluSc8	504
AluYRa3	AluSg	478
AluYRa3	AluSg4	473
AluYRa3	AluSg7	461
AluYRa3	AluSp	436
AluYRa3	AluSq	463
AluYRa3	AluSq10	436
AluYRa3	AluSq2	459
AluYRa3	AluSq4	462
AluYRa3	AluSx	470
AluYRa3	AluSx1	474
AluYRa3	AluSx3	490
AluYRa3	AluSx4	473
AluYRa3	AluSz	470
AluYRa3	AluSz6	447
AluYRa3	AluY	526
AluYRa3	AluYRa1	517
AluYRa3	AluYRa2	522
AluYRa3	AluYRa4	505
AluYRa3	AluYRb1	465
AluYRa3	AluYRb2	456
AluYRa3	AluYRb3	465
AluYRa3	AluYRc0	535
AluYRa3	AluYRc1	508
AluYRa3	AluYRc2	504
AluYRa3	AluYRd1	499
AluYRa3	AluYRd2	486
AluYRa3	AluYRd4	499
AluYRa3	AluYa5	504
AluYRa3	AluYa8	487
AluYRa3	AluYb8	473
AluYRa3	AluYb9	473
AluYRa3	AluYc	479
AluYRa3	AluYc3	468
AluYRa3	AluYd8	452
AluYRa3	AluYe5	513
AluYRa3	AluYe6	508
AluYRa3	AluYg6	508
AluYRa3	AluYh9	486
AluYRa3	AluYk11	486
AluYRa3	AluYk12	477
AluYRa3	AluYk4	508
AluYRa3	FAM	168
AluYRa3	FLAM_A	120
AluYRa3	FLAM_C	150
AluYRa3	FRAM	220
AluYRa3	SVA_A	221
AluYRa3	SVA_B	70.7
AluYRa3	SVA_C	70.7
AluYRa3	SVA_D	69.8
AluYRa3	SVA_E	64.4
AluYRa3	SVA_F	69.8
AluYRa4	AluJb	412
AluYRa4	AluJo	385
AluYRa4	AluJr	380
AluYRa4	AluJr4	377
AluYRa4	AluSc	475
AluYRa4	AluSc5	457
AluYRa4	AluSc8	500
AluYRa4	AluSg	474
AluYRa4	AluSg4	461
AluYRa4	AluSg7	453
AluYRa4	AluSp	428
AluYRa4	AluSq	451
AluYRa4	AluSq10	424
AluYRa4	AluSq2	451
AluYRa4	AluSq4	450
AluYRa4	AluSx	466
AluYRa4	AluSx1	466
AluYRa4	AluSx3	487
AluYRa4	AluSx4	470
AluYRa4	AluSz	466
AluYRa4	AluSz6	444
AluYRa4	AluY	518
AluYRa4	AluYRa1	500
AluYRa4	AluYRa2	505
AluYRa4	AluYRa3	505
AluYRa4	AluYRb1	457
AluYRa4	AluYRb2	457
AluYRa4	AluYRb3	453
AluYRa4	AluYRc0	518
AluYRa4	AluYRc1	491
AluYRa4	AluYRc2	491
AluYRa4	AluYRd1	478
AluYRa4	AluYRd2	473
AluYRa4	AluYRd4	478
AluYRa4	AluYa5	496
AluYRa4	AluYa8	479
AluYRa4	AluYb8	461
AluYRa4	AluYb9	461
AluYRa4	AluYc	466
AluYRa4	AluYc3	455
AluYRa4	AluYd8	439
AluYRa4	AluYe5	487
AluYRa4	AluYe6	482
AluYRa4	AluYg6	505
AluYRa4	AluYh9	478
AluYRa4	AluYk11	469
AluYRa4	AluYk12	469
AluYRa4	AluYk4	496
AluYRa4	FAM	169
AluYRa4	FLAM_A	121
AluYRa4	FLAM_C	145
AluYRa4	FRAM	225
AluYRa4	SVA_A	229
AluYRa4	SVA_B	78.8
AluYRa4	SVA_C	78.8
AluYRa4	SVA_D	76.1
AluYRa4	SVA_E	65.3
AluYRa4	SVA_F	76.1
AluYRb1	AluJb	399
AluYRb1	AluJo	363
AluYRb1	AluJr	359
AluYRb1	AluJr4	355
AluYRb1	AluSc	453
AluYRb1	AluSc5	435
AluYRb1	AluSc8	470
AluYRb1	AluSg	457
AluYRb1	AluSg4	462
AluYRb1	AluSg7	444
AluYRb1	AluSp	416
AluYRb1	AluSq	438
AluYRb1	AluSq10	407
AluYRb1	AluSq2	438
AluYRb1	AluSq4	437
AluYRb1	AluSx	449
AluYRb1	AluSx1	453
AluYRb1	AluSx3	470
AluYRb1	AluSx4	457
AluYRb1	AluSz	449
AluYRb1	AluSz6	426
AluYRb1	AluY	492
AluYRb1	AluYRa1	461
AluYRb1	AluYRa2	465
AluYRb1	AluYRa3	465
AluYRb1	AluYRa4	457
AluYRb1	AluYRb2	491
AluYRb1	AluYRb3	514
AluYRb1	AluYRc0	488
AluYRb1	AluYRc1	470
AluYRb1	AluYRc2	474
AluYRb1	AluYRd1	443
AluYRb1	AluYRd2	447
AluYRb1	AluYRd4	443
AluYRb1	AluYa5	488
AluYRb1	AluYa8	471
AluYRb1	AluYb8	466
AluYRb1	AluYb9	457
AluYRb1	AluYc	518
AluYRb1	AluYc3	508
AluYRb1	AluYd8	500
AluYRb1	AluYe5	465
AluYRb1	AluYe6	461
AluYRb1	AluYg6	465
AluYRb1	AluYh9	456
AluYRb1	AluYk11	474
AluYRb1	AluYk12	447
AluYRb1	AluYk4	483
AluYRb1	FAM	178
AluYRb1	FLAM_A	133
AluYRb1	FLAM_C	124
AluYRb1	FRAM	233
AluYRb1	SVA_A	186
AluYRb1	SVA_B	75.2
AluYRb1	SVA_C	74.3
AluYRb1	SVA_D	71.6
AluYRb2	AluJb	377
AluYRb2	AluJo	345
AluYRb2	AluJr	341
AluYRb2	AluJr4	337
AluYRb2	AluSc	431
AluYRb2	AluSc5	413
AluYRb2	AluSc8	447
AluYRb2	AluSg	434
AluYRb2	AluSg4	439
AluYRb2	AluSg7	422
AluYRb2	AluSp	402
AluYRb2	AluSq	425
AluYRb2	AluSq10	384
AluYRb2	AluSq2	416
AluYRb2	AluSq4	424
AluYRb2	AluSx	426
AluYRb2	AluSx1	431
AluYRb2	AluSx3	447
AluYRb2	AluSx4	434
AluYRb2	AluSz	426
AluYRb2	AluSz6	404
AluYRb2	AluY	470
AluYRb2	AluYRa1	447
AluYRb2	AluYRa2	452
AluYRb2	AluYRa3	456
AluYRb2	AluYRa4	457
AluYRb2	AluYRb1	491
AluYRb2	AluYRb3	496
AluYRb2	AluYRc0	474
AluYRb2	AluYRc1	447
AluYRb2	AluYRc2	456
AluYRb2	AluYRd1	434
AluYRb2	AluYRd2	429
AluYRb2	AluYRd4	434
AluYRb2	AluYa5	456
AluYRb2	AluYa8	439
AluYRb2	AluYb8	425
AluYRb2	AluYb9	425
AluYRb2	AluYc	500
AluYRb2	AluYc3	489
AluYRb2	AluYd8	473
AluYRb2	AluYe5	452
AluYRb2	AluYe6	447
AluYRb2	AluYg6	443
AluYRb2	AluYh9	434
AluYRb2	AluYk11	447
AluYRb2	AluYk12	429
AluYRb2	AluYk4	456
AluYRb2	FAM	173
AluYRb2	FLAM_A	124
AluYRb2	FLAM_C	120
AluYRb2	FRAM	220
AluYRb2	SVA_A	194
AluYRb2	SVA_B	83.3
AluYRb2	SVA_C	83.3
AluYRb2	SVA_D	78.8
AluYRb2	SVA_E	68.0
AluYRb2	SVA_F	78.8
AluYRb3	AluJb	395
AluYRb3	AluJo	359
AluYRb3	AluJr	354
AluYRb3	AluJr4	351
AluYRb3	AluSc	449
AluYRb3	AluSc5	431
AluYRb3	AluSc8	470
AluYRb3	AluSg	453
AluYRb3	AluSg4	457
AluYRb3	AluSg7	440
AluYRb3	AluSp	411
AluYRb3	AluSq	434
AluYRb3	AluSq10	402
AluYRb3	AluSq2	434
AluYRb3	AluSq4	433
AluYRb3	AluSx	444
AluYRb3	AluSx1	449
AluYRb3	AluSx3	465
AluYRb3	AluSx4	453
AluYRb3	AluSz	444
AluYRb3	AluSz6	422
AluYRb3	AluY	492
AluYRb3	AluYRa1	461
AluYRb3	AluYRa2	465
AluYRb3	AluYRa3	465
AluYRb3	AluYRa4	453
AluYRb3	AluYRb1	514
AluYRb3	AluYRb2	496
AluYRb3	AluYRc0	488
AluYRb3	AluYRc1	470
AluYRb3	AluYRc2	474
AluYRb3	AluYRd1	452
AluYRb3	AluYRd2	443
AluYRb3	AluYRd4	452
AluYRb3	AluYa5	479
AluYRb3	AluYa8	462
AluYRb3	AluYb8	444
AluYRb3	AluYb9	444
AluYRb3	AluYc	523
AluYRb3	AluYc3	512
AluYRb3	AluYd8	496
AluYRb3	AluYe5	465
AluYRb3	AluYe6	461
AluYRb3	AluYg6	465
AluYRb3	AluYh9	456
AluYRb3	AluYk11	465
AluYRb3	AluYk12	452
AluYRb3	AluYk4	479
AluYRb3	FAM	178
AluYRb3	FLAM_A	129
AluYRb3	FLAM_C	120
AluYRb3	FRAM	233
AluYRb3	SVA_A	190
AluYRb3	SVA_B	79.7
AluYRb3	SVA_C	78.8
AluYRb3	SVA_D	76.1
AluYRb3	SVA_E	65.3
AluYRb3	SVA_F	76.1
AluYRc0	AluJb	438
AluYRc0	AluJo	402
AluYRc0	AluJr	398
AluYRc0	AluJr4	394
AluYRc0	AluSc	501
AluYRc0	AluSc5	483
AluYRc0	AluSc8	526
AluYRc0	AluSg	500
AluYRc0	AluSg4	496
AluYRc0	AluSg7	483
AluYRc0	AluSp	454
AluYRc0	AluSq	481
AluYRc0	AluSq10	450
AluYRc0	AluSq2	481
AluYRc0	AluSq4	480
AluYRc0	AluSx	492
AluYRc0	AluSx1	497
AluYRc0	AluSx3	513
AluYRc0	AluSx4	496
AluYRc0	AluSz	492
AluYRc0	AluSz6	470
AluYRc0	AluY	549
AluYRc0	AluYRa1	531
AluYRc0	AluYRa2	535
AluYRc0	AluYRa3	535
AluYRc0	AluYRa4	518
AluYRc0	AluYRb1	488
AluYRc0	AluYRb2	474
AluYRc0	AluYRb3	488
AluYRc0	AluYRc1	531
AluYRc0	AluYRc2	526
AluYRc0	AluYRd1	508
AluYRc0	AluYRd2	504
AluYRc0	AluYRd4	508
AluYRc0	AluYa5	526
AluYRc0	AluYa8	509
AluYRc0	AluYb8	496
AluYRc0	AluYb9	496
AluYRc0	AluYc	501
AluYRc0	AluYc3	490
AluYRc0	AluYd8	474
AluYRc0	AluYe5	526
AluYRc0	AluYe6	522
AluYRc0	AluYg6	522
AluYRc0	AluYh9	508
AluYRc0	AluYk11	504
AluYRc0	AluYk12	499
AluYRc0	AluYk4	531
AluYRc0	FAM	182
AluYRc0	FLAM_A	133
AluYRc0	FLAM_C	154
AluYRc0	FRAM	238
AluYRc0	SVA_A	233
AluYRc0	SVA_B	79.7
AluYRc0	SVA_C	78.8
AluYRc0	SVA_D	76.1
AluYRc0	SVA_E	65.3
AluYRc0	SVA_F	76.1
AluYRc1	AluJb	429
AluYRc1	AluJo	393
AluYRc1	AluJr	389
AluYRc1	AluJr4	385
AluYRc1	AluSc	483
AluYRc1	AluSc5	465
AluYRc1	AluSc8	508
AluYRc1	AluSg	482
AluYRc1	AluSg4	478
AluYRc1	AluSg7	465
AluYRc1	AluSp	450
AluYRc1	AluSq	468
AluYRc1	AluSq10	445
AluYRc1	AluSq2	477
AluYRc1	AluSq4	467
AluYRc1	AluSx	474
AluYRc1	AluSx1	479
AluYRc1	AluSx3	495
AluYRc1	AluSx4	478
AluYRc1	AluSz	474
AluYRc1	AluSz6	461
AluYRc1	AluY	531
AluYRc1	AluYRa1	504
AluYRc1	AluYRa2	508
AluYRc1	AluYRa3	508
AluYRc1	AluYRa4	491
AluYRc1	AluYRb1	470
AluYRc1	AluYRb2	447
AluYRc1	AluYRb3	470
AluYRc1	AluYRc0	531
AluYRc1	AluYRc2	545
AluYRc1	AluYRd1	486
AluYRc1	AluYRd2	481
AluYRc1	AluYRd4	486
AluYRc1	AluYa5	508
AluYRc1	AluYa8	491
AluYRc1	AluYb8	478
AluYRc1	AluYb9	478
AluYRc1	AluYc	483
AluYRc1	AluYc3	472
AluYRc1	AluYd8	456
AluYRc1	AluYe5	517
AluYRc1	AluYe6	513
AluYRc1	AluYg6	504
AluYRc1	AluYh9	490
AluYRc1	AluYk11	486
AluYRc1	AluYk12	481
AluYRc1	AluYk4	513
AluYRc1	FAM	164
AluYRc1	FLAM_A	121
AluYRc1	FLAM_C	159
AluYRc1	FRAM	215
AluYRc1	SVA_A	229
AluYRc1	SVA_B	72.5
AluYRc1	SVA_C	72.5
AluYRc1	SVA_D	71.6
AluYRc1	SVA_E	60.8
AluYRc1	SVA_F	71.6
AluYRc2	AluJb	425
AluYRc2	AluJo	393
AluYRc2	AluJr	389
AluYRc2	AluJr4	385
AluYRc2	AluSc	479
AluYRc2	AluSc5	461
AluYRc2	AluSc8	504
AluYRc2	AluSg	478
AluYRc2	AluSg4	473
AluYRc2	AluSg7	461
AluYRc2	AluSp	436
AluYRc2	AluSq	463
AluYRc2	AluSq10	432
AluYRc2	AluSq2	463
AluYRc2	AluSq4	462
AluYRc2	AluSx	470
AluYRc2	AluSx1	474
AluYRc2	AluSx3	490
AluYRc2	AluSx4	473
AluYRc2	AluSz	470
AluYRc2	AluSz6	456
AluYRc2	AluY	526
AluYRc2	AluYRa1	499
AluYRc2	AluYRa2	504
AluYRc2	AluYRa3	504
AluYRc2	AluYRa4	491
AluYRc2	AluYRb1	474
AluYRc2	AluYRb2	456
AluYRc2	AluYRb3	474
AluYRc2	AluYRc0	526
AluYRc2	AluYRc1	545
AluYRc2	AluYRd1	481
AluYRc2	AluYRd2	477
AluYRc2	AluYRd4	481
AluYRc2	AluYa5	504
AluYRc2	AluYa8	487
AluYRc2	AluYb8	473
AluYRc2	AluYb9	473
AluYRc2	AluYc	479
AluYRc2	AluYc3	468
AluYRc2	AluYd8	452
AluYRc2	AluYe5	513
AluYRc2	AluYe6	508
AluYRc2	AluYg6	499
AluYRc2	AluYh9	486
AluYRc2	AluYk11	490
AluYRc2	AluYk12	477
AluYRc2	AluYk4	508
AluYRc2	FAM	168
AluYRc2	FLAM_A	120
AluYRc2	FLAM_C	154
AluYRc2	FRAM	220
AluYRc2	SVA_A	220
AluYRc2	SVA_B	77.0
AluYRc2	SVA_C	77.0
AluYRc2	SVA_D	76.1
AluYRc2	SVA_E	65.3
AluYRc2	SVA_F	76.1
AluYRd1	AluJb	402
AluYRd1	AluJo	375
AluYRd1	AluJr	379
AluYRd1	AluJr4	367
AluYRd1	AluSc	461
AluYRd1	AluSc5	452
AluYRd1	AluSc8	486
AluYRd1	AluSg	460
AluYRd1	AluSg4	460
AluYRd1	AluSg7	452
AluYRd1	AluSp	414
AluYRd1	AluSq	441
AluYRd1	AluSq10	423
AluYRd1	AluSq2	441
AluYRd1	AluSq4	440
AluYRd1	AluSx	452
AluYRd1	AluSx1	456
AluYRd1	AluSx3	472
AluYRd1	AluSx4	455
AluYRd1	AluSz	452
AluYRd1	AluSz6	429
AluYRd1	AluY	508
AluYRd1	AluYRa1	481
AluYRd1	AluYRa2	486
AluYRd1	AluYRa3	499
AluYRd1	AluYRa4	478
AluYRd1	AluYRb1	443
AluYRd1	AluYRb2	434
AluYRd1	AluYRb3	452
AluYRd1	AluYRc0	508
AluYRd1	AluYRc1	486
AluYRd1	AluYRc2	481
AluYRd1	AluYRd2	517
AluYRd1	AluYRd4	549
AluYRd1	AluYa5	495
AluYRd1	AluYa8	478
AluYRd1	AluYb8	460
AluYRd1	AluYb9	464
AluYRd1	AluYc	461
AluYRd1	AluYc3	450
AluYRd1	AluYd8	434
AluYRd1	AluYe5	490
AluYRd1	AluYe6	486
AluYRd1	AluYg6	481
AluYRd1	AluYh9	468
AluYRd1	AluYk11	463
AluYRd1	AluYk12	468
AluYRd1	AluYk4	486
AluYRd1	FAM	168
AluYRd1	FLAM_A	120
AluYRd1	FLAM_C	150
AluYRd1	FRAM	220
AluYRd1	SVA_A	198
AluYRd1	SVA_B	68.0
AluYRd1	SVA_C	68.0
AluYRd1	SVA_D	68.0
AluYRd1	SVA_E	64.4
AluYRd1	SVA_F	68.0
AluYRd2	AluJb	407
AluYRd2	AluJo	370
AluYRd2	AluJr	375
AluYRd2	AluJr4	362
AluYRd2	AluSc	465
AluYRd2	AluSc5	447
AluYRd2	AluSc8	481
AluYRd2	AluSg	464
AluYRd2	AluSg4	464
AluYRd2	AluSg7	456
AluYRd2	AluSp	418
AluYRd2	AluSq	445
AluYRd2	AluSq10	427
AluYRd2	AluSq2	445
AluYRd2	AluSq4	444
AluYRd2	AluSx	456
AluYRd2	AluSx1	461
AluYRd2	AluSx3	477
AluYRd2	AluSx4	460
AluYRd2	AluSz	456
AluYRd2	AluSz6	434
AluYRd2	AluY	504
AluYRd2	AluYRa1	490
AluYRd2	AluYRa2	486
AluYRd2	AluYRa3	486
AluYRd2	AluYRa4	473
AluYRd2	AluYRb1	447
AluYRd2	AluYRb2	429
AluYRd2	AluYRb3	443
AluYRd2	AluYRc0	504
AluYRd2	AluYRc1	481
AluYRd2	AluYRc2	477
AluYRd2	AluYRd1	517
AluYRd2	AluYRd4	517
AluYRd2	AluYa5	495
AluYRd2	AluYa8	482
AluYRd2	AluYb8	460
AluYRd2	AluYb9	464
AluYRd2	AluYc	456
AluYRd2	AluYc3	445
AluYRd2	AluYd8	429
AluYRd2	AluYe5	477
AluYRd2	AluYe6	472
AluYRd2	AluYg6	477
AluYRd2	AluYh9	463
AluYRd2	AluYk11	454
AluYRd2	AluYk12	454
AluYRd2	AluYk4	481
AluYRd2	FAM	164
AluYRd2	FLAM_A	120
AluYRd2	FLAM_C	154
AluYRd2	FRAM	215
AluYRd2	SVA_A	205
AluYRd2	SVA_B	78.8
AluYRd2	SVA_C	78.8
AluYRd2	SVA_D	78.8
AluYRd2	SVA_E	68.0
AluYRd2	SVA_F	78.8
AluYRd4	AluJb	402
AluYRd4	AluJo	375
AluYRd4	AluJr	379
AluYRd4	AluJr4	367
AluYRd4	AluSc	461
AluYRd4	AluSc5	443
AluYRd4	AluSc8	486
AluYRd4	AluSg	460
AluYRd4	AluSg4	460
AluYRd4	AluSg7	452
AluYRd4	AluSp	414
AluYRd4	AluSq	441
AluYRd4	AluSq10	423
AluYRd4	AluSq2	441
AluYRd4	AluSq4	440
AluYRd4	AluSx	452
AluYRd4	AluSx1	456
AluYRd4	AluSx3	472
AluYRd4	AluSx4	455
AluYRd4	AluSz	452
AluYRd4	AluSz6	429
AluYRd4	AluY	508
AluYRd4	AluYRa1	481
AluYRd4	AluYRa2	486
AluYRd4	AluYRa3	499
AluYRd4	AluYRa4	478
AluYRd4	AluYRb1	443
AluYRd4	AluYRb2	434
AluYRd4	AluYRb3	452
AluYRd4	AluYRc0	508
AluYRd4	AluYRc1	486
AluYRd4	AluYRc2	481
AluYRd4	AluYRd1	549
AluYRd4	AluYRd2	517
AluYRd4	AluYa5	495
AluYRd4	AluYa8	478
AluYRd4	AluYb8	460
AluYRd4	AluYb9	464
AluYRd4	AluYc	461
AluYRd4	AluYc3	450
AluYRd4	AluYd8	434
AluYRd4	AluYe5	490
AluYRd4	AluYe6	486
AluYRd4	AluYg6	481
AluYRd4	AluYh9	468
AluYRd4	AluYk11	459
AluYRd4	AluYk12	468
AluYRd4	AluYk4	486
AluYRd4	FAM	168
AluYRd4	FLAM_A	120
AluYRd4	FLAM_C	150
AluYRd4	FRAM	220
AluYRd4	SVA_A	198
AluYRd4	SVA_B	68.0
AluYRd4	SVA_C	68.0
AluYRd4	SVA_D	68.0
AluYRd4	SVA_E	64.4
AluYRd4	SVA_F	68.0
AluYa5	AluJb	428
AluYa5	AluJo	392
AluYa5	AluJr	388
AluYa5	AluJr4	384
AluYa5	AluSc	491
AluYa5	AluSc5	473
AluYa5	AluSc8	517
