File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF162JOW	bigWig	bigWig		signal p-value	GRCh38	ENCSR496DCY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF153QJN/, /files/ENCFF730LOH/, /files/ENCFF387ORV/, /files/ENCFF260HRL/	561605156	ENCODE Processing Pipeline	38af9f8d46a538e954da30f219c5d840		https://www.encodeproject.org/files/ENCFF162JOW/@@download/ENCFF162JOW.bigWig				released	s3://encode-public/2020/11/13/0b9c4e2e-53e0-4a06-ab29-7bdc165d9f05/ENCFF162JOW.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, control low read depth	insufficient read depth	
ENCFF051UOL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR496DCY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF153QJN/, /files/ENCFF356LFX/, /files/ENCFF730LOH/, /files/ENCFF387ORV/, /files/ENCFF260HRL/	2164244	ENCODE Processing Pipeline	86b506aab98ae94b09c9022f219363b5		https://www.encodeproject.org/files/ENCFF051UOL/@@download/ENCFF051UOL.bed.gz				released	s3://encode-public/2020/11/13/19720366-b7f6-4adc-8bf6-b2454d20e1bc/ENCFF051UOL.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, control low read depth	insufficient read depth	
ENCFF648HHX	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR496DCY	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF051UOL/	4113982	ENCODE Processing Pipeline	1930c9e91e96b9a6d4eebb92f43fdc38		https://www.encodeproject.org/files/ENCFF648HHX/@@download/ENCFF648HHX.bigBed				released	s3://encode-public/2020/11/13/801ded09-a0d8-46e9-ad8c-22e507937cc1/ENCFF648HHX.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, control low read depth	insufficient read depth	
ENCFF649VNE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR663WAR	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2017-01-08	ENCODE		sonication (generic), none	200-600, 300-1000	1, 2	1_1, 2_1							/files/ENCFF853FRF/, /files/ENCFF623AJW/, /files/ENCFF356LFX/, /files/ENCFF246XQQ/, /files/ENCFF451YMU/, /files/ENCFF356TBZ/, /files/ENCFF381IYY/	117398	ENCODE Processing Pipeline	ddc762978a925c48b8c5f6f4633a3b76		https://www.encodeproject.org/files/ENCFF649VNE/@@download/ENCFF649VNE.bed.gz				released	s3://encode-public/2021/02/11/29eddb89-b701-49ac-88f3-5508eb9d70e8/ENCFF649VNE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, antibody characterized with exemption, low read length		
ENCFF203SWY	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR663WAR	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2017-01-08	ENCODE		sonication (generic), none	200-600, 300-1000	1, 2	1_1, 2_1							/files/ENCFF649VNE/	283834	ENCODE Processing Pipeline	de52e725fb466adf48756f8e52d8b66d		https://www.encodeproject.org/files/ENCFF203SWY/@@download/ENCFF203SWY.bigBed				released	s3://encode-public/2021/02/11/da6949ad-5e86-4a7d-a3be-5c74b76c110d/ENCFF203SWY.bigBed	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, antibody characterized with exemption, low read length		
ENCFF884IEG	bigWig	bigWig		signal p-value	GRCh38	ENCSR663WAR	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2017-01-08	ENCODE		sonication (generic), none	200-600, 300-1000	1, 2	1_1, 2_1							/files/ENCFF853FRF/, /files/ENCFF623AJW/, /files/ENCFF246XQQ/, /files/ENCFF451YMU/, /files/ENCFF356TBZ/, /files/ENCFF381IYY/	2166116923	ENCODE Processing Pipeline	9d6f7d7a136c9f08e302b6e2e4076447		https://www.encodeproject.org/files/ENCFF884IEG/@@download/ENCFF884IEG.bigWig				released	s3://encode-public/2021/02/11/747c9172-dd46-483d-b419-b2200aab1f37/ENCFF884IEG.bigWig	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, antibody characterized with exemption, low read length		
ENCFF816CJJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR891KGZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF837OAD/, /files/ENCFF784JZF/, /files/ENCFF400BPI/, /files/ENCFF489FDE/	513292831	ENCODE Processing Pipeline	8f1686a03dd98670080fed893e45f15a		https://www.encodeproject.org/files/ENCFF816CJJ/@@download/ENCFF816CJJ.bigWig				released	s3://encode-public/2022/02/25/bf226de7-5503-43b6-90d9-6b0868685c99/ENCFF816CJJ.bigWig	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, moderate library complexity	insufficient read depth	extremely low read depth
ENCFF499UAV	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR891KGZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF465DQM/	3914216	ENCODE Processing Pipeline	5519a0c9b7b99cf6f710e9bed7ffbad7		https://www.encodeproject.org/files/ENCFF499UAV/@@download/ENCFF499UAV.bigBed				released	s3://encode-public/2022/02/25/f24f9329-3fae-41d9-957d-c5d33080b6cd/ENCFF499UAV.bigBed	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, moderate library complexity	insufficient read depth	extremely low read depth
ENCFF465DQM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR891KGZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H4K8ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF784JZF/, /files/ENCFF400BPI/, /files/ENCFF837OAD/, /files/ENCFF489FDE/	1838212	ENCODE Processing Pipeline	d9f3e6f5abcb707314bfa380dd8d4e49		https://www.encodeproject.org/files/ENCFF465DQM/@@download/ENCFF465DQM.bed.gz				released	s3://encode-public/2022/02/25/e97c7509-0a93-4513-b595-3e54606e2320/ENCFF465DQM.bed.gz	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length, moderate library complexity	insufficient read depth	extremely low read depth
ENCFF218OXB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR814KIO	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX5-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-800, 300-1000	1, 2	1_1, 2_1							/files/ENCFF424JNH/, /files/ENCFF451YMU/, /files/ENCFF853FRF/, /files/ENCFF381IYY/, /files/ENCFF623AJW/, /files/ENCFF420ESL/, /files/ENCFF356LFX/	6922	ENCODE Processing Pipeline	b50ea868d2296a13a6ea9a9f29032894		https://www.encodeproject.org/files/ENCFF218OXB/@@download/ENCFF218OXB.bed.gz				released	s3://encode-public/2021/03/19/321cc867-15fd-4d5f-b52e-9547a338ff2e/ENCFF218OXB.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read depth, antibody characterized with exemption, low read length		
ENCFF289CTN	bigWig	bigWig		signal p-value	GRCh38	ENCSR814KIO	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX5-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-800, 300-1000	1, 2	1_1, 2_1							/files/ENCFF424JNH/, /files/ENCFF451YMU/, /files/ENCFF853FRF/, /files/ENCFF381IYY/, /files/ENCFF623AJW/, /files/ENCFF420ESL/	1915361119	ENCODE Processing Pipeline	fcefadf1409120158f3d9b72fdc6bc53		https://www.encodeproject.org/files/ENCFF289CTN/@@download/ENCFF289CTN.bigWig				released	s3://encode-public/2021/03/19/06ea2ae9-d1c7-4ce4-b341-6c24a1cd42e5/ENCFF289CTN.bigWig	ENCODE4 v1.7.1 GRCh38	released	low read depth, antibody characterized with exemption, low read length		
ENCFF210ZZG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR814KIO	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CBX5-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-800, 300-1000	1, 2	1_1, 2_1							/files/ENCFF218OXB/	89913	ENCODE Processing Pipeline	5e2255ed3001dd553d032dd99d6337c4		https://www.encodeproject.org/files/ENCFF210ZZG/@@download/ENCFF210ZZG.bigBed				released	s3://encode-public/2021/03/19/f04f91cc-5d63-43bb-b633-d80588d285b4/ENCFF210ZZG.bigBed	ENCODE4 v1.7.1 GRCh38	released	low read depth, antibody characterized with exemption, low read length		
ENCFF699UVV	bigWig	bigWig		signal p-value	GRCh38	ENCSR057BTG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF153TUB/, /files/ENCFF745GWE/, /files/ENCFF214IXF/, /files/ENCFF837OAD/	946881566	ENCODE Processing Pipeline	825986eb102337d58ef3d76d38434ba6		https://www.encodeproject.org/files/ENCFF699UVV/@@download/ENCFF699UVV.bigWig				released	s3://encode-public/2020/11/20/4bad1478-0d8b-4bcc-b427-273415b5485b/ENCFF699UVV.bigWig	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF870OAL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR057BTG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF153TUB/, /files/ENCFF837OAD/, /files/ENCFF356LFX/, /files/ENCFF745GWE/, /files/ENCFF214IXF/	126635	ENCODE Processing Pipeline	8ea9077f4a324fd78687e77fd6246471		https://www.encodeproject.org/files/ENCFF870OAL/@@download/ENCFF870OAL.bed.gz				released	s3://encode-public/2020/11/20/7972bff4-fb5b-4a3a-a8ce-149e4cc1a13f/ENCFF870OAL.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF792ZRY	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR057BTG	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF870OAL/	302026	ENCODE Processing Pipeline	33bb96a74eafcef7ba3806e8b4fffb4b		https://www.encodeproject.org/files/ENCFF792ZRY/@@download/ENCFF792ZRY.bigBed				released	s3://encode-public/2020/11/20/5783a87f-02d5-49b0-98dc-1fea41a4ad99/ENCFF792ZRY.bigBed	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF771SUK	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR476KTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF681CEO/	4354620	ENCODE Processing Pipeline	4701c5c95ea2e3c40032669d98dea60a		https://www.encodeproject.org/files/ENCFF771SUK/@@download/ENCFF771SUK.bigBed				released	s3://encode-public/2020/11/19/40ca351f-c9d9-4657-ba84-1fb8b8674602/ENCFF771SUK.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length	insufficient read depth, control insufficient read depth	
ENCFF681CEO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR476KTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF139MSY/, /files/ENCFF648ZLN/, /files/ENCFF267VHA/, /files/ENCFF957SWP/, /files/ENCFF356LFX/	2396386	ENCODE Processing Pipeline	59fbddeeae92918f59cbd0c20841ac8d		https://www.encodeproject.org/files/ENCFF681CEO/@@download/ENCFF681CEO.bed.gz				released	s3://encode-public/2020/11/19/6600faa1-0f3c-4064-ab14-46e054bdde86/ENCFF681CEO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length	insufficient read depth, control insufficient read depth	
ENCFF483UMR	bigWig	bigWig		signal p-value	GRCh38	ENCSR476KTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF648ZLN/, /files/ENCFF957SWP/, /files/ENCFF267VHA/, /files/ENCFF139MSY/	493169129	ENCODE Processing Pipeline	52b208f7142a798971c197a856a2a8d0		https://www.encodeproject.org/files/ENCFF483UMR/@@download/ENCFF483UMR.bigWig				released	s3://encode-public/2020/11/19/522efefc-3b63-49ef-af64-6af39a203d54/ENCFF483UMR.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length	insufficient read depth, control insufficient read depth	
ENCFF350XJF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR815LBP	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K23ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF845YCM/, /files/ENCFF441IJD/, /files/ENCFF214IXF/, /files/ENCFF837OAD/, /files/ENCFF356LFX/	80032	ENCODE Processing Pipeline	aede1ca083d630324cf1376406a41bb9		https://www.encodeproject.org/files/ENCFF350XJF/@@download/ENCFF350XJF.bed.gz				released	s3://encode-public/2020/11/19/c6b3edb6-4bba-48ba-9f48-c4ae3b1bf7b7/ENCFF350XJF.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF288FXM	bigWig	bigWig		signal p-value	GRCh38	ENCSR815LBP	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K23ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF214IXF/, /files/ENCFF837OAD/, /files/ENCFF845YCM/, /files/ENCFF441IJD/	799894336	ENCODE Processing Pipeline	76655e73b141547ad8910e3be64cba33		https://www.encodeproject.org/files/ENCFF288FXM/@@download/ENCFF288FXM.bigWig				released	s3://encode-public/2020/11/19/20a5b658-da36-45cc-8834-8c40e05d7e68/ENCFF288FXM.bigWig	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF880IDQ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR815LBP	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K23ac-human	DNA						2013-07-31	Roadmap				1, 2	1_3, 2_3							/files/ENCFF350XJF/	231065	ENCODE Processing Pipeline	ef699613f88e16b04fdf8ed491f67db8		https://www.encodeproject.org/files/ENCFF880IDQ/@@download/ENCFF880IDQ.bigBed				released	s3://encode-public/2020/11/19/39e0fc2d-309e-4f25-91a7-0dde0ee87fa6/ENCFF880IDQ.bigBed	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms	insufficient read length	
ENCFF731SVV	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR271TFS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF613QAB/	6555744	ENCODE Processing Pipeline	8a866a1e5cade5171f46546282066514		https://www.encodeproject.org/files/ENCFF731SVV/@@download/ENCFF731SVV.bigBed				released	s3://encode-public/2020/11/20/4f072b89-b65a-4a11-9ef3-ae4a9043e909/ENCFF731SVV.bigBed	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF613QAB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR271TFS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF834WMC/, /files/ENCFF056UIJ/, /files/ENCFF139MSY/, /files/ENCFF957SWP/, /files/ENCFF356LFX/	2788987	ENCODE Processing Pipeline	45ab60a049b5d607d791adbaf74580a2		https://www.encodeproject.org/files/ENCFF613QAB/@@download/ENCFF613QAB.bed.gz				released	s3://encode-public/2020/11/20/47e67ce6-eef5-40c0-b197-98afd26b7759/ENCFF613QAB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF164XHJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR271TFS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF056UIJ/, /files/ENCFF139MSY/, /files/ENCFF957SWP/, /files/ENCFF834WMC/	385825280	ENCODE Processing Pipeline	26f4e76f9bea032efcf161a9ef960dfe		https://www.encodeproject.org/files/ENCFF164XHJ/@@download/ENCFF164XHJ.bigWig				released	s3://encode-public/2020/11/20/f083e339-325d-4e98-b0a1-8514eeb866a8/ENCFF164XHJ.bigWig	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF356MCC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR443YAS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF638NIJ/, /files/ENCFF940GKD/, /files/ENCFF957SWP/, /files/ENCFF356LFX/, /files/ENCFF139MSY/	772244	ENCODE Processing Pipeline	e11df8100656aaee0fd0005a4144e3fd		https://www.encodeproject.org/files/ENCFF356MCC/@@download/ENCFF356MCC.bed.gz				released	s3://encode-public/2020/10/19/dc3d891f-f3d5-4d01-a066-75f081ae1b56/ENCFF356MCC.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, control low read depth, inconsistent platforms, low read length		extremely low read depth
ENCFF458BEK	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR443YAS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF356MCC/	1761053	ENCODE Processing Pipeline	a1a48fb616b0cfccf99b5c34ef4a0e0a		https://www.encodeproject.org/files/ENCFF458BEK/@@download/ENCFF458BEK.bigBed				released	s3://encode-public/2020/10/19/3bb189d6-921d-4175-a587-eb9a38cb599e/ENCFF458BEK.bigBed	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, control low read depth, inconsistent platforms, low read length		extremely low read depth
ENCFF180WKT	bigWig	bigWig		signal p-value	GRCh38	ENCSR443YAS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF139MSY/, /files/ENCFF638NIJ/, /files/ENCFF940GKD/, /files/ENCFF957SWP/	333633609	ENCODE Processing Pipeline	80d46cb09e6593de060161275c3f6f7d		https://www.encodeproject.org/files/ENCFF180WKT/@@download/ENCFF180WKT.bigWig				released	s3://encode-public/2020/10/19/79cafeb9-322b-4251-bea5-b9ce81130393/ENCFF180WKT.bigWig	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, control low read depth, inconsistent platforms, low read length		extremely low read depth
ENCFF434UNV	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR322MEI	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF583ABZ/	3002736	ENCODE Processing Pipeline	1f2c6a0599e83dab0b97625040c2a974		https://www.encodeproject.org/files/ENCFF434UNV/@@download/ENCFF434UNV.bigBed				released	s3://encode-public/2020/11/19/717701aa-0c67-44a1-984a-356dc27ca82f/ENCFF434UNV.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, control low read depth	insufficient read depth	
ENCFF649WBU	bigWig	bigWig		signal p-value	GRCh38	ENCSR322MEI	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF480QXG/, /files/ENCFF139MSY/, /files/ENCFF080SQV/, /files/ENCFF957SWP/	339661293	ENCODE Processing Pipeline	7f2ab6b1aca56b0402487dea2ca7b7c4		https://www.encodeproject.org/files/ENCFF649WBU/@@download/ENCFF649WBU.bigWig				released	s3://encode-public/2020/11/19/80c73113-7045-47d3-a3c3-06b31d5e9469/ENCFF649WBU.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, control low read depth	insufficient read depth	
ENCFF583ABZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR322MEI	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF480QXG/, /files/ENCFF139MSY/, /files/ENCFF080SQV/, /files/ENCFF356LFX/, /files/ENCFF957SWP/	1374071	ENCODE Processing Pipeline	0f731b909e1d5d9e2b46f1287802a38a		https://www.encodeproject.org/files/ENCFF583ABZ/@@download/ENCFF583ABZ.bed.gz				released	s3://encode-public/2020/11/19/41435acc-d58f-4064-937f-2e20d70980b1/ENCFF583ABZ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, control low read depth	insufficient read depth	
ENCFF519VGB	bigWig	bigWig		signal p-value	GRCh38	ENCSR571IIS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF897EWW/, /files/ENCFF837OAD/	416220172	ENCODE Processing Pipeline	2c3d78cb2fbd996c34a34a8fd841e6f3		https://www.encodeproject.org/files/ENCFF519VGB/@@download/ENCFF519VGB.bigWig				released	s3://encode-public/2020/12/10/dd66502f-75ce-4b90-ab6c-a4fe218b6796/ENCFF519VGB.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF584JOM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR571IIS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF897EWW/, /files/ENCFF356LFX/, /files/ENCFF837OAD/	608873	ENCODE Processing Pipeline	f38554ab3b7cda98a9e1734f5f37a107		https://www.encodeproject.org/files/ENCFF584JOM/@@download/ENCFF584JOM.bed.gz				released	s3://encode-public/2020/12/10/a6740a88-c91a-41e4-9b71-5934af79ba3c/ENCFF584JOM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF456BLH	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR571IIS	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H2AFZ-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF584JOM/	1410683	ENCODE Processing Pipeline	3ccfc0101e8d8ceaa728cb587283eb18		https://www.encodeproject.org/files/ENCFF456BLH/@@download/ENCFF456BLH.bigBed				released	s3://encode-public/2020/12/10/e375b732-6d6e-4f37-acfd-657456113b78/ENCFF456BLH.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, insufficient read depth, severe bottlenecking	
ENCFF131WDQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR186OBR	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF139MSY/, /files/ENCFF915QOK/, /files/ENCFF495SRZ/, /files/ENCFF957SWP/	392158508	ENCODE Processing Pipeline	05b9aa9c9e63a8eeffbd5b08c83df8c4		https://www.encodeproject.org/files/ENCFF131WDQ/@@download/ENCFF131WDQ.bigWig				released	s3://encode-public/2020/11/25/a6defc23-279b-4cd3-b8de-cb0f50878e21/ENCFF131WDQ.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length	poor library complexity, insufficient read depth, control insufficient read depth, severe bottlenecking	
